Region,Constituency,Station,Registered,,,,,,,,,,,,,,,
Banjul,Banjul Central,22nd July Square .,2505,,,,,,,,,,,,,,,
Banjul,Banjul Central,Banjul. City Council,694,,,,,,,,,,,,,,,
Banjul,Banjul Central,Bethel Church,470,,,,,,,,,,,,,,,
Banjul,Banjul Central,Odeon Cinema,570,,,,,,,,,,,,,,,
Banjul,Banjul Central,Sam Jack Terrace,2666,,,,,,,,,,,,,,,
Banjul,Banjul Central,Wellesley Macdonald St. Junc.,1466,,,,,,,,,,,,,,,
Banjul,Banjul North,Campama Pri. Sch.,2600,,,,,,,,,,,,,,,
Banjul,Banjul North,Crab Island Jun. Sch.,461,,,,,,,,,,,,,,,
Banjul,Banjul North,Gambia Sen. Sec. Sch. (Next To Arch 22),1803,,,,,,,,,,,,,,,
Banjul,Banjul North,Police Barracks,1518,,,,,,,,,,,,,,,
Banjul,Banjul North,St. Joseph Sen. Sec. Sch.,371,,,,,,,,,,,,,,,
Banjul,Banjul South,Banjul Mini Stadium,1720,,,,,,,,,,,,,,,
Banjul,Banjul South,Lasso Wharf Market,904,,,,,,,,,,,,,,,
Banjul,Banjul South,Methodist Pri. Sch.( Wesley Annex),896,,,,,,,,,,,,,,,
Banjul,Banjul South,Muhammadan Pri. Sch.,1147,,,,,,,,,,,,,,,
Banjul,Banjul South,St. Aug. Jnr. Sec. Sch.,450,,,,,,,,,,,,,,,
Banjul,Banjul South,Wesley Pri.Sch.,1131,,,,,,,,,,,,,,,
Basse,Basse,Allounghare,2984,,,,,,,,,,,,,,,
Basse,Basse,Baniko Kekoro,1830,,,,,,,,,,,,,,,
Basse,Basse,Basse  Dunya Cinema,3250,,,,,,,,,,,,,,,
Basse,Basse,Basse Community Centre,1080,,,,,,,,,,,,,,,
Basse,Basse,Fass Bajong,1239,,,,,,,,,,,,,,,
Basse,Basse,Giroba Kunda,1223,,,,,,,,,,,,,,,
Basse,Basse,Kabakama,1559,,,,,,,,,,,,,,,
Basse,Basse,Kanube,743,,,,,,,,,,,,,,,
Basse,Basse,Koba Kunda,995,,,,,,,,,,,,,,,
Basse,Basse,Kumbija,1437,,,,,,,,,,,,,,,
Basse,Basse,Manneh Kunda,919,,,,,,,,,,,,,,,
Basse,Basse,Mansajang Kunda,1410,,,,,,,,,,,,,,,
Basse,Basse,Sabi,3882,,,,,,,,,,,,,,,
Basse,Basse,Sare Musa,244,,,,,,,,,,,,,,,
Basse,Jimara,Bakadaji,1334,,,,,,,,,,,,,,,
Basse,Jimara,Bantankore (Sandi Kunda),785,,,,,,,,,,,,,,,
Basse,Jimara,Demba Kunda Bahawa,920,,,,,,,,,,,,,,,
Basse,Jimara,Demba Kunda Moribugu,1768,,,,,,,,,,,,,,,
Basse,Jimara,Fatako,294,,,,,,,,,,,,,,,
Basse,Jimara,Gambisara,5791,,,,,,,,,,,,,,,
Basse,Jimara,Hella Kunda,557,,,,,,,,,,,,,,,
Basse,Jimara,Julangel,1098,,,,,,,,,,,,,,,
Basse,Jimara,Koro Jula Kunda,344,,,,,,,,,,,,,,,
Basse,Jimara,Kossemar Tenda,484,,,,,,,,,,,,,,,
Basse,Jimara,Mankamang Kunda,712,,,,,,,,,,,,,,,
Basse,Jimara,Medina Samba Sowe,515,,,,,,,,,,,,,,,
Basse,Jimara,Numuyel,2338,,,,,,,,,,,,,,,
Basse,Jimara,Sare Bojo  (Ngamana),1877,,,,,,,,,,,,,,,
Basse,Jimara,Sare Jawbeh,474,,,,,,,,,,,,,,,
Basse,Jimara,Sare Njobo,1053,,,,,,,,,,,,,,,
Basse,Jimara,Sare Wollom,402,,,,,,,,,,,,,,,
Basse,Jimara,Sotuma Sere,1827,,,,,,,,,,,,,,,
Basse,Jimara,Tabajang,479,,,,,,,,,,,,,,,
Basse,Kantora,Baragi Kunda,301,,,,,,,,,,,,,,,
Basse,Kantora,Boli Bana,286,,,,,,,,,,,,,,,
Basse,Kantora,Brikama Kantora,436,,,,,,,,,,,,,,,
Basse,Kantora,Fantumbu,479,,,,,,,,,,,,,,,
Basse,Kantora,Fatoto,967,,,,,,,,,,,,,,,
Basse,Kantora,Gambisara Lamoi,819,,,,,,,,,,,,,,,
Basse,Kantora,Garawol  A,1867,,,,,,,,,,,,,,,
Basse,Kantora,Garawol  B,2159,,,,,,,,,,,,,,,
Basse,Kantora,Gidda,879,,,,,,,,,,,,,,,
Basse,Kantora,Kebbeh Kunda,330,,,,,,,,,,,,,,,
Basse,Kantora,Keneba Kantora,708,,,,,,,,,,,,,,,
Basse,Kantora,Koina,3031,,,,,,,,,,,,,,,
Basse,Kantora,Missera Ba Mariama,1591,,,,,,,,,,,,,,,
Basse,Kantora,Nyamanari,1548,,,,,,,,,,,,,,,
Basse,Kantora,Sabi Kalilu,280,,,,,,,,,,,,,,,
Basse,Kantora,Sami Koto,522,,,,,,,,,,,,,,,
Basse,Kantora,Songkunda,1055,,,,,,,,,,,,,,,
Basse,Kantora,Suduwol,1124,,,,,,,,,,,,,,,
Basse,Sandu,Changali Lang Kaddy,886,,,,,,,,,,,,,,,
Basse,Sandu,Darsilameh Bulembu,750,,,,,,,,,,,,,,,
Basse,Sandu,Darsilameh Mandinka,979,,,,,,,,,,,,,,,
Basse,Sandu,Darsilameh Takutala,1052,,,,,,,,,,,,,,,
Basse,Sandu,Diabugu Batapa,2312,,,,,,,,,,,,,,,
Basse,Sandu,Kuraw Arfang,579,,,,,,,,,,,,,,,
Basse,Sandu,Kuwonku,697,,,,,,,,,,,,,,,
Basse,Sandu,Mamadi Ceesay Kunda,549,,,,,,,,,,,,,,,
Basse,Sandu,Missera,1138,,,,,,,,,,,,,,,
Basse,Sandu,Naude,912,,,,,,,,,,,,,,,
Basse,Sandu,Niankui,746,,,,,,,,,,,,,,,
Basse,Sandu,Sare Demba Toro,1284,,,,,,,,,,,,,,,
Basse,Sandu,Sare Gugu Basirou,1160,,,,,,,,,,,,,,,
Basse,Tumana,Badari,621,,,,,,,,,,,,,,,
Basse,Tumana,Bissandugu,748,,,,,,,,,,,,,,,
Basse,Tumana,Chamoi,668,,,,,,,,,,,,,,,
Basse,Tumana,Daibugu Ba- Sillah,601,,,,,,,,,,,,,,,
Basse,Tumana,Dampha Kunda,2000,,,,,,,,,,,,,,,
Basse,Tumana,Dingiri,1772,,,,,,,,,,,,,,,
Basse,Tumana,Kulari,2841,,,,,,,,,,,,,,,
Basse,Tumana,Kulkuleh,643,,,,,,,,,,,,,,,
Basse,Tumana,Kundam Ma- Fatty,1116,,,,,,,,,,,,,,,
Basse,Tumana,Medina Samako,809,,,,,,,,,,,,,,,
Basse,Tumana,Njayel,557,,,,,,,,,,,,,,,
Basse,Tumana,Perai,677,,,,,,,,,,,,,,,
Basse,Tumana,Sanunding,844,,,,,,,,,,,,,,,
Basse,Tumana,Sare Alpha,1898,,,,,,,,,,,,,,,
Basse,Tumana,Tambasansang,622,,,,,,,,,,,,,,,
Basse,Tumana,Waliba Kunda,578,,,,,,,,,,,,,,,
Basse,Wulli East,Baja Kunda,2907,,,,,,,,,,,,,,,
Basse,Wulli East,Bantunding,1012,,,,,,,,,,,,,,,
Basse,Wulli East,Boro Kanda Kasseh,913,,,,,,,,,,,,,,,
Basse,Wulli East,Brifu,748,,,,,,,,,,,,,,,
Basse,Wulli East,Foday Kunda,437,,,,,,,,,,,,,,,
Basse,Wulli East,Gunjur Koto,327,,,,,,,,,,,,,,,
Basse,Wulli East,Macca Masireh,746,,,,,,,,,,,,,,,
Basse,Wulli East,Mureh Kunda,631,,,,,,,,,,,,,,,
Basse,Wulli East,Passamas Mandinka,886,,,,,,,,,,,,,,,
Basse,Wulli East,Sakoley Kunda,587,,,,,,,,,,,,,,,
Basse,Wulli East,Sare Bohum,811,,,,,,,,,,,,,,,
Basse,Wulli East,Sutokoba,1620,,,,,,,,,,,,,,,
Basse,Wulli East,Wellingara Yareh,644,,,,,,,,,,,,,,,
Basse,Wulli West,Banni Israel,476,,,,,,,,,,,,,,,
Basse,Wulli West,Barrow Kunda,834,,,,,,,,,,,,,,,
Basse,Wulli West,Chamoi Bunda,901,,,,,,,,,,,,,,,
Basse,Wulli West,Fadia Kunda,615,,,,,,,,,,,,,,,
Basse,Wulli West,Gunjur Kuta,1364,,,,,,,,,,,,,,,
Basse,Wulli West,Jah Kunda,795,,,,,,,,,,,,,,,
Basse,Wulli West,Kerewan Badala,365,,,,,,,,,,,,,,,
Basse,Wulli West,Kerewan Nyakoi,398,,,,,,,,,,,,,,,
