Country,Region,Constituency,Station
The Gambia,Banjul,Banjul Central,22nd July Square .
The Gambia,Banjul,Banjul Central,Banjul. City Council
The Gambia,Banjul,Banjul Central,Bethel Church
The Gambia,Banjul,Banjul Central,Odeon Cinema
The Gambia,Banjul,Banjul Central,Sam Jack Terrace
The Gambia,Banjul,Banjul Central,Wellesley Macdonald St. Junc.
The Gambia,Banjul,Banjul North,Campama Pri. Sch.
The Gambia,Banjul,Banjul North,Crab Island Jun. Sch.
The Gambia,Banjul,Banjul North,Gambia Sen. Sec. Sch. (Next To Arch 22)
The Gambia,Banjul,Banjul North,Police Barracks
The Gambia,Banjul,Banjul North,St. Joseph Sen. Sec. Sch.
The Gambia,Banjul,Banjul South,Banjul Mini Stadium
The Gambia,Banjul,Banjul South,Lasso Wharf Market
The Gambia,Banjul,Banjul South,Methodist Pri. Sch.( Wesley Annex)
The Gambia,Banjul,Banjul South,Muhammadan Pri. Sch.
The Gambia,Banjul,Banjul South,St. Aug. Jnr. Sec. Sch.
The Gambia,Banjul,Banjul South,Wesley Pri.Sch.
The Gambia,Basse,Basse,Allounghare
The Gambia,Basse,Basse,Baniko Kekoro
The Gambia,Basse,Basse,Basse  Dunya Cinema
The Gambia,Basse,Basse,Basse Community Centre
The Gambia,Basse,Basse,Fass Bajong
The Gambia,Basse,Basse,Giroba Kunda
The Gambia,Basse,Basse,Kabakama
The Gambia,Basse,Basse,Kanube
The Gambia,Basse,Basse,Koba Kunda
The Gambia,Basse,Basse,Kumbija
The Gambia,Basse,Basse,Manneh Kunda
The Gambia,Basse,Basse,Mansajang Kunda
The Gambia,Basse,Basse,Sabi
The Gambia,Basse,Basse,Sare Musa
The Gambia,Basse,Jimara,Bakadaji
The Gambia,Basse,Jimara,Bantankore (Sandi Kunda)
The Gambia,Basse,Jimara,Demba Kunda Bahawa
The Gambia,Basse,Jimara,Demba Kunda Moribugu
The Gambia,Basse,Jimara,Fatako
The Gambia,Basse,Jimara,Gambisara
The Gambia,Basse,Jimara,Hella Kunda
The Gambia,Basse,Jimara,Julangel
The Gambia,Basse,Jimara,Koro Jula Kunda
The Gambia,Basse,Jimara,Kossemar Tenda
The Gambia,Basse,Jimara,Mankamang Kunda
The Gambia,Basse,Jimara,Medina Samba Sowe
The Gambia,Basse,Jimara,Numuyel
The Gambia,Basse,Jimara,Sare Bojo  (Ngamana)
The Gambia,Basse,Jimara,Sare Jawbeh
The Gambia,Basse,Jimara,Sare Njobo
The Gambia,Basse,Jimara,Sare Wollom
The Gambia,Basse,Jimara,Sotuma Sere
The Gambia,Basse,Jimara,Tabajang
The Gambia,Basse,Kantora,Baragi Kunda
The Gambia,Basse,Kantora,Boli Bana
The Gambia,Basse,Kantora,Brikama Kantora
The Gambia,Basse,Kantora,Fantumbu
The Gambia,Basse,Kantora,Fatoto
The Gambia,Basse,Kantora,Gambisara Lamoi
The Gambia,Basse,Kantora,Garawol  A
The Gambia,Basse,Kantora,Garawol  B
The Gambia,Basse,Kantora,Gidda
The Gambia,Basse,Kantora,Kebbeh Kunda
The Gambia,Basse,Kantora,Keneba Kantora
The Gambia,Basse,Kantora,Koina
The Gambia,Basse,Kantora,Missera Ba Mariama
The Gambia,Basse,Kantora,Nyamanari
The Gambia,Basse,Kantora,Sabi Kalilu
The Gambia,Basse,Kantora,Sami Koto
The Gambia,Basse,Kantora,Songkunda
The Gambia,Basse,Kantora,Suduwol
The Gambia,Basse,Sandu,Changali Lang Kaddy
The Gambia,Basse,Sandu,Darsilameh Bulembu
The Gambia,Basse,Sandu,Darsilameh Mandinka
The Gambia,Basse,Sandu,Darsilameh Takutala
The Gambia,Basse,Sandu,Diabugu Batapa
The Gambia,Basse,Sandu,Kuraw Arfang
The Gambia,Basse,Sandu,Kuwonku
The Gambia,Basse,Sandu,Mamadi Ceesay Kunda
The Gambia,Basse,Sandu,Missera
The Gambia,Basse,Sandu,Naude
The Gambia,Basse,Sandu,Niankui
The Gambia,Basse,Sandu,Sare Demba Toro
The Gambia,Basse,Sandu,Sare Gugu Basirou
The Gambia,Basse,Tumana,Badari
The Gambia,Basse,Tumana,Bissandugu
The Gambia,Basse,Tumana,Chamoi
The Gambia,Basse,Tumana,Daibugu Ba- Sillah
The Gambia,Basse,Tumana,Dampha Kunda
The Gambia,Basse,Tumana,Dingiri
The Gambia,Basse,Tumana,Kulari
The Gambia,Basse,Tumana,Kulkuleh
The Gambia,Basse,Tumana,Kundam Ma- Fatty
The Gambia,Basse,Tumana,Medina Samako
The Gambia,Basse,Tumana,Njayel
The Gambia,Basse,Tumana,Perai
The Gambia,Basse,Tumana,Sanunding
The Gambia,Basse,Tumana,Sare Alpha
The Gambia,Basse,Tumana,Tambasansang
The Gambia,Basse,Tumana,Waliba Kunda
The Gambia,Basse,Wulli East,Baja Kunda
The Gambia,Basse,Wulli East,Bantunding
The Gambia,Basse,Wulli East,Boro Kanda Kasseh
The Gambia,Basse,Wulli East,Brifu
The Gambia,Basse,Wulli East,Foday Kunda
The Gambia,Basse,Wulli East,Gunjur Koto
The Gambia,Basse,Wulli East,Macca Masireh
The Gambia,Basse,Wulli East,Mureh Kunda
The Gambia,Basse,Wulli East,Passamas Mandinka
The Gambia,Basse,Wulli East,Sakoley Kunda
The Gambia,Basse,Wulli East,Sare Bohum
The Gambia,Basse,Wulli East,Sutokoba
The Gambia,Basse,Wulli East,Wellingara Yareh
The Gambia,Basse,Wulli West,Banni Israel
The Gambia,Basse,Wulli West,Barrow Kunda
The Gambia,Basse,Wulli West,Chamoi Bunda
The Gambia,Basse,Wulli West,Fadia Kunda
The Gambia,Basse,Wulli West,Gunjur Kuta
The Gambia,Basse,Wulli West,Jah Kunda
The Gambia,Basse,Wulli West,Kerewan Badala
The Gambia,Basse,Wulli West,Kerewan Nyakoi
The Gambia,Basse,Wulli West,Koli Bantang
The Gambia,Basse,Wulli West,Limbambulu Yamadou
The Gambia,Basse,Wulli West,Madina Koto
The Gambia,Basse,Wulli West,Perai Mamadi (Bajonkoto)
The Gambia,Basse,Wulli West,Sare Ngai
The Gambia,Basse,Wulli West,Sutukonding
The Gambia,Basse,Wulli West,Taibatou
The Gambia,Basse,Wulli West,Tuba Wulli
The Gambia,Brikama,Brikama North,Bafuloto Bantaba
The Gambia,Brikama,Brikama North,Bafuloto Nema Su
The Gambia,Brikama,Brikama North,Brikama Darukhairu Mosque
The Gambia,Brikama,Brikama North,Brikama Kabafita Mosque
The Gambia,Brikama,Brikama North,Brikama Misira Mosque
The Gambia,Brikama,Brikama North,Brikama Nema Geebungoto (Comm Dev.)
The Gambia,Brikama,Brikama North,Brikama Nemataba Girl Guides Centre
The Gambia,Brikama,Brikama North,Brikama Nyambai Baba Galleh Mosque
The Gambia,Brikama,Brikama North,Brikama Nyambai College Market
The Gambia,Brikama,Brikama North,Brikama Nyambai Jambarr Sanneh (Methodist Sch Gate)
The Gambia,Brikama,Brikama North,Brikama Wellingara Praying Grounds
The Gambia,Brikama,Brikama North,Busuranding Bantaba
The Gambia,Brikama,Brikama North,Farato Bojang Kunda (Sotokoi Daru) Bantaba
The Gambia,Brikama,Brikama North,Jalambang Mosque
The Gambia,Brikama,Brikama North,Jamisa Bantaba
The Gambia,Brikama,Brikama North,Kassakunda Bantaba
The Gambia,Brikama,Brikama North,Kembujeh Bantaba
The Gambia,Brikama,Brikama North,Kembujeh Medina Sch Ground
The Gambia,Brikama,Brikama North,Kubuneh Skill Centre
The Gambia,Brikama,Brikama North,New Town North (Mother Ali Nur. Sch.)
The Gambia,Brikama,Brikama North,Serekunda Nding Skill Centre
The Gambia,Brikama,Brikama North,Taibatou Bantaba
